"","PercentageValues.Total.No.Of.Schools","PercentageValues.Schools.Approachable.By.Road.in.All.Weather","PercentageValues.Washrooms.For.Both","PercentageValues.Playground.Facilitated.Schools","PercentageValues.Boundarywall.Facilitated.Schools","PercentageValues.Drinking.Water.Facilitated.Schools","PercentageValues.Electricity.Facilitated.Schools","PercentageValues.Computer.Facilitated.Schools","PercentageValues.Mid.Day.Meal.Facilitated.Schools","PercentageValues.Total.Teachers"
"534",100,80.4461319411486,96.6540104413859,55.7902230659706,77.0052206929283,97.7693402942572,54.2002847650688,21.4760322733745,70.3844328429046,506.668248694827
"535",100,79.5489891135303,94.7900466562986,57.7371695178849,90.9020217729393,98.6003110419907,61.353032659409,32.3872472783826,59.8755832037325,643.662519440124
"536",100,76.3424518743668,98.0749746707194,51.3171225937183,72.1377912867275,97.8723404255319,57.3961499493414,28.6727456940223,67.9331306990882,600.96251266464
"537",100,86.9527049270273,97.9150663886755,61.6811148908153,89.4655985954131,98.0906397454186,67.9249423899923,48.0083397344453,43.6628991550532,779.205530560737
"538",100,91.0521955260978,98.7986743993372,55.2609776304888,91.963545981773,99.5028997514499,71.4995857497929,33.3885666942833,47.4730737365369,867.481358740679
"539",100,80.9948542024014,96.9125214408233,53.6878216123499,90.7718696397942,99.3138936535163,71.5608919382504,37.1526586620926,63.4648370497427,670.668953687822
"540",100,82.4669603524229,98.1057268722467,47.7533039647577,80.4405286343612,99.8237885462555,62.4669603524229,31.1894273127753,77.0044052863436,504.31718061674
"541",100,82.8787878787879,94.3636363636364,58.7575757575758,92.5454545454545,100,74.2424242424242,43.5757575757576,55.9090909090909,737
"542",100,77.5329048056321,95.2555861646771,55.1270278543006,88.3073155800429,91.8885827976737,58.2797673706765,28.527701254974,55.1270278543006,727.578818487909
"543",100,82.6510067114094,96.9798657718121,31.9798657718121,59.8657718120805,94.6308724832215,33.8926174496644,20.9060402684564,81.3422818791946,433.557046979866
"544",100,80.3260045489007,97.3085670962851,59.0219863532979,85.1781652767248,97.6118271417741,55.3449583017437,28.2789992418499,64.9355572403336,534.950720242608
"545",100,67.4172185430464,96.7833491012299,33.3396404919584,71.7502365184484,95.19394512772,39.9810785241249,18.3349101229896,78.5052034058657,498.088930936613
"546",100,73.025856044724,98.0782669461915,50.0349406009783,89.5527603074773,98.3577917540182,51.2928022361985,25.8909853249476,69.0426275331936,520.300489168414
"547",100,82.5457317073171,97.1798780487805,53.3917682926829,81.5167682926829,97.1798780487805,43.1021341463415,27.5914634146341,60.2896341463415,595.731707317073
"548",100,83.1070889894419,93.6651583710407,39.5173453996983,86.8778280542986,96.7571644042232,66.5912518853695,40.3469079939668,70.0603318250377,617.722473604827
"549",100,98.9943431803897,97.3601508485229,77.3727215587681,74.7957259585167,100,99.3714644877436,51.7913262099309,84.6008799497172,716.844751728473
"550",100,98.7642115669797,97.3306969846762,74.5427582797825,83.9347503707365,100,98.8630746416214,48.3440434997528,82.2046465645082,914.582303509639
"551",100,98.3883964544722,97.09911361805,69.9838839645447,78.8879935535858,100,99.8791297340854,47.5825946817083,86.3013698630137,757.614826752619
"552",100,96.6974900924703,98.0184940554822,85.8652575957728,72.1928665785997,99.8678996036988,97.9524438573316,47.556142668428,86.6578599735799,710.964332892999
"553",100,98.946603705049,91.1732655285143,87.5045405012714,74.3189248092989,100,93.4253541590992,44.2063203777697,79.6222302942245,885.361423901199
"554",100,98.4732824427481,94.5977686435702,82.5014679976512,70.8749266001174,99.8825601879037,98.825601879037,49.7944803288315,86.5531415149736,849.383440986494
"555",100,99.6031746031746,97.6190476190476,66.7460317460317,86.1111111111111,99.9206349206349,98.968253968254,62.4603174603175,84.4444444444444,775.396825396825
"556",100,98.1884057971015,97.5845410628019,78.2608695652174,81.5217391304348,99.8792270531401,99.2753623188406,62.1980676328502,66.4653784219002,1171.81964573269
"557",100,98.5556090515166,95.8594126143476,76.1194029850746,74.4824265767934,100,99.13336543091,55.9460760712566,77.563793933558,1037.07270101107
"558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
